,0,1,2
0,2.0917272296154694,1.1156536478265942,0.3921349783074528
1,116.41522872929224,25.653301105023537,0.964418818620158
2,7532.290432095452,795.3007597174242,23.203137181105035
3,492306.655322053,24678.36669044579,689.099750273383
4,32434365.96690126,765849.3730982131,20474.275199076084
5,2149944451.5491843,23767510.137527674,608350.0605349547
6,143163278995.42953,737865850.8172003,18076020.711106323
7,9565128218368.621,22929911878.76804,537097479.8196305
8,640623563463287.0,713214190255.1306,15958925139.768215
9,4.298031676795415e+16,22206209172704.88,474191993564.43274
10,2.8871758748162867e+18,692170314982923.5,14089799387645.477
11,1.9411405256748617e+20,2.1601577240158276e+16,418654154685559.8
12,1.3058967373130618e+22,6.750624864287517e+17,1.2439588152688496e+16
13,8.789200013568239e+23,2.1127211497090535e+19,3.696209669474662e+17
14,5.9172831972486845e+25,6.622692006612866e+20,1.0982651317991684e+19
15,3.9846327687403275e+27,2.0795790175888195e+22,3.263305947482205e+20
16,2.6836099054095108e+29,6.54210949918806e+23,9.696352363920912e+21
17,1.807574033883821e+31,2.0621116475110676e+25,2.881104336477819e+23
18,1.2176002992203898e+33,6.513360316401072e+26,8.560706012046839e+24
19,8.202302104093336e+34,2.0617590945390475e+28,2.5436665551062803e+26
20,5.525866987015636e+36,6.541018633312874e+29,7.558067680938207e+27
21,3.727905590488782e+38,2.07995789188125e+31,2.2457498194867296e+29
22,2.5160682779050955e+40,6.629545289583032e+32,6.672859340019432e+30
23,1.6985089736838417e+42,2.118078156980279e+34,1.9827253857627307e+32
24,1.1467091884535543e+44,6.783105471548086e+35,5.891327473023714e+33
25,7.742067507238587e+45,2.177374593750159e+37,1.7505066331237075e+35
26,5.227197423526167e+47,7.005450839206218e+38,5.2013293890745836e+36
27,3.5292678752155566e+49,2.258963360497906e+40,1.5454855698190036e+38
28,2.3828793763430877e+51,7.299895950177947e+41,4.592144561226708e+39
29,1.6088674838553272e+53,2.363830798094777e+43,1.3644767756501146e+41
30,1.0862726508703567e+55,7.669395318195955e+44,4.054308061223622e+42
31,7.334281553700055e+56,2.4928719390392265e+46,1.2046679099738464e+44
32,4.95195151678053e+58,8.116702763556732e+47,3.579463502540915e+45
33,3.343453006640069e+60,2.6469500209357184e+49,1.063576016256676e+47
34,2.257428886616927e+62,8.644579044998373e+50,3.160233206885456e+48
35,1.524168352061433e+64,2.8269653632804316e+52,9.390089442832432e+49
36,1.029086318526679e+66,9.256011435115496e+53,2.7901035769221463e+51
37,6.948173756781432e+67,3.0339231270193985e+55,8.290312906333403e+52
38,4.6912603692922765e+69,9.954417231810633e+56,2.4633238942596806e+54
39,3.1674400551702737e+71,3.268993068448279e+58,7.319343282441141e+55
40,2.1385887195440185e+73,1.074381595137248e+60,2.1748169703163173e+57
41,1.4439299978357719e+75,3.533558424632157e+61,6.462094578515769e+58
42,9.749110802513448e+76,1.1628966586684803e+63,1.9201002618445182e+60
43,6.582393993124352e+78,3.829254187069492e+64,5.705247688253689e+61
44,4.44429359343478e+80,1.261547408522865e+66,1.6952162254826984e+63
45,3.0006932987293758e+82,4.157996806029554e+67,5.037043452217695e+64
46,2.0260048270360585e+84,1.3709872897111748e+69,1.4966708292509515e+66
47,1.367915728314079e+86,4.5220080120729607e+70,4.447099955321023e+67
48,9.235878487553017e+87,1.4919696163640401e+72,1.3213792656408214e+69
49,6.235870358914459e+89,4.92383536061917e+73,3.9262512226114763e+70
50,4.210328144268934e+91,1.6253538194339921e+75,1.1666180228416281e+72
51,2.8427247620827627e+93,5.36637168405054e+76,3.4664048071627826e+73
52,1.9193478028449118e+95,1.7721116340533592e+78,1.0299825694320166e+75
53,1.2959031551076438e+97,5.852875130780156e+79,3.060416057413902e+76
54,8.749664781592663e+98,1.9333336823092723e+81,9.093499950821125e+77
55,5.907589119488161e+100,6.386991016198081e+82,2.70197711044104e+79
56,3.9886795752582073e+102,2.110236778553708e+84,8.028460268136902e+80
57,2.6930723231240272e+104,6.972776356525557e+85,2.3855188864473034e+82
58,1.818305632411488e+106,2.3041721893779505e+87,7.088159083481798e+83
59,1.2276816127329455e+108,7.614727707337183e+88,2.1061245617539274e+85
60,8.289047316229497e+109,2.516635016404767e+90,6.257986900943303e+86
61,5.59658992185608e+111,8.317812768114034e+91,1.859453175920658e+88
62,3.7786994763673785e+113,2.749274830904398e+93,5.525045303179252e+89
63,2.55129818908792e+115,9.087506121839512e+94,1.641672186075308e+91
64,1.7225827272987463e+117,3.0039076684624512e+96,4.8779465482073426e+92
65,1.1630515261129811e+119,9.929829435272821e+97,1.4493979205466283e+94
66,7.852678602640748e+120,3.2825294840788427e+99,4.3066366376173886e+95
67,5.3019629699864594e+122,1.0851396436034848e+101,1.2796430066267458e+97
68,3.5797735725047957e+124,3.587331169056359e+102,3.802239107208901e+98
69,2.416987614388497e+126,1.1859462996080407e+104,1.1297699556455948e+100
70,1.6318990600346228e+128,3.9207152379679313e+105,3.3569171130228044e+101
71,1.1018238266047769e+130,1.2961982680013402e+107,9.974501842072774e+102
72,7.439282089225773e+131,4.2853143049523086e+108,2.963751669993613e+104
73,5.022846363162444e+133,1.4167668156191448e+110,8.806278348999207e+105
74,3.3913199264850154e+135,4.684011482367133e+111,2.616634151410535e+107
75,2.2897476873119244e+137,1.5486058915669515e+113,7.774878343592249e+108
76,1.545989344916937e+139,5.119962850705343e+114,2.310171378947775e+110
77,1.0438193988974168e+141,1.6927595797025963e+116,6.864276924034384e+111
78,7.04764842718308e+142,5.596622166256782e+117,2.039601828644065e+113
79,4.7584235745801985e+144,1.8503702873160295e+119,6.060326040813769e+114
80,3.212787236631608e+146,6.11776799210767e+120,1.8007216509205314e+116
