,0,1,2
0,1.4147095200421396,0.9119207933065716,0.5938382826654462
1,42.48775681154714,18.846459266844914,5.184926933509343
2,1736.182446993131,613.4164608898969,123.56025550001137
3,70983.9253955361,19994.59715377095,2960.5859942581583
4,2902692.571837314,651736.0230290062,70965.11221254915
5,118716166.92991756,21243773.95126939,1701560.1733874674
6,4856002747.495208,692455985.2515323,40808747.6700831
7,198655899865.9047,22571115881.54356,978900181.2167095
8,8127771434083.416,735722629007.4495,23484648132.703312
9,332570412937911.94,23981444686320.63,563476636128.7075
10,1.3609215254943514e+16,781693791543468.6,13520820273979.896
11,5.569493019368877e+17,2.5479918934674676e+16,324456949793305.3
12,2.279436954553979e+19,8.305379063720287e+17,7786309360586157.0
13,9.329653204123377e+20,2.7072034795075363e+19,1.8686238586478352e+17
14,3.818795853234279e+22,8.82434249081621e+20,4.484603670270868e+18
15,1.5631756276328592e+24,2.876363846807179e+22,1.0763049904441816e+20
16,6.398927103393617e+25,9.375734346650393e+23,2.5831735444824586e+21
17,2.619524917068942e+27,3.0560944311769803e+25,6.199791852986451e+22
18,1.0723882645600273e+29,9.961580481524119e+26,1.4880059593285823e+24
19,4.3902989410454725e+30,3.247055622591385e+28,3.5713738088023544e+25
20,1.7974102485830858e+32,1.058403358864203e+30,8.571726277245496e+26
21,7.35885319413596e+33,3.4499491291695913e+31,2.057325776517619e+28
22,3.0128793397831088e+35,1.1245380984180981e+33,4.937864907342829e+29
23,1.233562090953885e+37,3.6655205286410785e+34,1.1851583483363913e+31
24,5.050647735998528e+38,1.1948052956211705e+36,2.844555084735968e+32
25,2.0679457906633423e+40,3.894561996443405e+37,6.827361840493061e+33
26,8.46713596177849e+41,1.269463167108386e+39,1.6386716982190189e+35
27,3.466878459086252e+43,4.1379152117267874e+40,3.933066925657266e+36
28,1.4195309182592982e+45,1.348786065180483e+42,9.439978115962554e+37
29,5.812390339411317e+46,4.396474448159405e+43,2.265744020078926e+39
30,2.3799505863021553e+48,1.4330654855368274e+45,5.438145871705901e+40
31,9.745048030594328e+49,4.671189859255287e+46,1.305241824715741e+42
32,3.990272650532434e+51,1.522611138267095e+48,3.1327894019779174e+43
33,1.633892235012667e+53,4.963070969589415e+49,7.519197444744999e+44
34,6.690309912630022e+54,1.6177520858886666e+51,1.8047283041246141e+46
35,2.7394969598218867e+56,5.273190384422327e+52,4.331638550131004e+47
36,1.1217522937042076e+58,1.7188379525493864e+54,1.0396630785791645e+49
37,4.593296563710205e+59,5.602687731236207e+55,2.495359117143437e+50
38,1.8808459401759826e+61,1.8262402088113947e+57,5.989264701134948e+51
39,7.701636883391457e+62,5.952773847606787e+58,1.4375202562886755e+53
40,3.153652275112696e+64,1.9403535367247898e+60,3.450280859765748e+54
41,1.2913543079030104e+66,6.324735230777723e+61,8.281231637857073e+55
42,5.287833485554876e+67,2.06159728020329e+63,1.987629447342904e+57
43,2.1652636494102622e+69,6.719938765277375e+64,4.770631995581121e+58
44,8.866340022667698e+70,2.190416986028761e+66,1.1450288105712056e+60
45,3.630600771928637e+72,7.139836745946009e+67,2.74825429053007e+61
46,1.4866648223663863e+74,2.3272860411470978e+69,6.5962547062779085e+62
47,6.087627054751382e+75,7.585972214831826e+70,1.5832078004688896e+64
48,2.49277665508803e+77,2.472707412271365e+72,3.7999547589569078e+65
49,1.0207491222349984e+79,8.059984631564245e+73,9.120505972493073e+66
50,4.179794603772108e+80,2.6272154941849555e+75,2.1890689390149056e+68
51,1.7115560030708022e+82,8.563615898044016e+76,5.2541194972625456e+69
52,7.008539187200146e+83,2.7913780735365263e+78,1.2610736566904924e+71
53,2.8698823378161398e+85,9.098716759587533e+79,3.0267807375407963e+72
54,1.1751704116045171e+87,2.9657984153437875e+81,7.264763314499818e+73
55,4.812134490936748e+88,9.667253606050655e+82,1.743660694759061e+75
56,1.9704925584505127e+90,3.1511174798731754e+84,4.185067685985556e+76
57,8.068855912562744e+91,1.0271315697922071e+86,1.0044839338891757e+78
58,3.3040698987519426e+93,3.348016278042096e+87,2.4109239069201585e+79
59,1.3529650733830276e+95,1.0913122843943308e+89,5.786607321082227e+80
60,5.54018193476827e+96,3.5572183739991296e+90,1.3888793501849766e+82
61,2.2686188740465124e+98,1.159503355846489e+92,3.333535079346776e+83
62,9.289645032543759e+99,3.779492544079478e+93,8.001023360616121e+84
63,3.803967124885162e+101,1.2319553728522211e+95,1.9203750162011033e+86
64,1.5576663604954079e+103,4.0156556019059993e+96,4.609210643143311e+87
