,0,1,2
0,inf,inf,6.766366164005942
1,inf,inf,195.75744099895192
2,inf,inf,1559.5794713033395
3,inf,inf,19772.34656154227
4,inf,inf,132114.5076557206
5,inf,inf,1207809.8977540988
6,inf,inf,17887191.840965353
7,inf,inf,293423643.46716654
8,inf,inf,4955597417.834944
9,inf,inf,149704416630.77313
10,inf,inf,2171632861533.8562
11,inf,inf,14792888165296.842
12,inf,inf,96209186418090.6
13,inf,inf,642338599366414.6
14,inf,inf,4113289969526739.5
15,inf,inf,5.683304161075676e+16
16,inf,inf,2.7362758678533632e+17
17,inf,inf,1.8800927230330266e+18
18,inf,inf,2.7799441138304336e+19
19,inf,inf,1.6148426176299332e+20
20,inf,inf,1.0995049669177716e+21
21,inf,inf,8.085799929100213e+21
22,inf,inf,2.8978836354230848e+23
23,inf,inf,7.428159449799423e+24
24,inf,inf,8.073669841073047e+25
25,inf,inf,1.8497237747814814e+27
26,inf,inf,1.1547183365568625e+28
27,inf,inf,8.059612839204815e+28
28,inf,inf,4.110228507087015e+29
29,inf,inf,2.4312904407620815e+30
30,inf,inf,2.8651767611612174e+31
31,inf,inf,6.186186311258217e+32
32,inf,inf,5.87334592449799e+33
33,inf,inf,1.2656706346799854e+35
34,inf,inf,1.587403926310825e+36
35,inf,inf,2.250306694387112e+37
36,inf,inf,1.3724446469445315e+38
37,inf,inf,1.3528821583810684e+39
38,inf,inf,5.02585236522277e+40
39,inf,inf,1.510475462335631e+42
40,inf,inf,1.7467728485024798e+43
41,inf,inf,2.0467297166418233e+44
42,inf,inf,5.695258509203204e+45
43,inf,inf,4.5607507618597637e+46
44,inf,inf,2.642012019660276e+47
45,inf,inf,8.467175894150976e+48
46,inf,inf,8.403883010861813e+49
47,inf,inf,7.580160259390141e+50
48,inf,inf,4.433438422446662e+51
49,inf,inf,2.7081501736993824e+52
50,inf,inf,1.6179903242600464e+53
51,inf,inf,1.590223389086799e+54
52,inf,inf,2.8605099339159166e+55
53,inf,inf,1.928177973808307e+56
54,inf,inf,1.62207617035478e+57
55,inf,inf,1.1690015729274002e+58
56,inf,inf,7.699795362673655e+58
57,inf,inf,2.4055029303679352e+60
58,inf,inf,1.3913133261262055e+61
59,inf,inf,1.2535689724365367e+62
60,inf,inf,7.844681281782948e+62
61,inf,inf,2.1842281781882056e+64
62,inf,inf,1.7126300744523362e+65
63,inf,inf,1.028558894821062e+66
64,inf,inf,7.187948925190698e+66
65,inf,inf,1.2880726945894168e+68
66,inf,inf,8.600218981792393e+68
67,inf,inf,2.3503893722733245e+70
68,inf,inf,1.3489863442192132e+71
69,inf,inf,8.672112315417921e+71
70,inf,inf,1.4826690035586212e+73
71,inf,inf,1.0735936836135682e+74
72,inf,inf,2.842312582624184e+75
73,inf,inf,1.9471464769635495e+76
74,inf,inf,1.5034363501393855e+77
75,inf,inf,1.1269924183018914e+78
76,inf,inf,3.375656359590462e+79
77,inf,inf,2.255634389977226e+80
78,inf,inf,1.7461874425355198e+81
79,inf,inf,1.3906220464500582e+82
80,inf,inf,2.0881416903086292e+83
81,inf,inf,1.5008460531236643e+84
82,inf,inf,2.1925937253237794e+85
83,inf,inf,1.3699817590696197e+86
84,inf,inf,4.079819197712448e+87
85,inf,inf,5.029645449732896e+88
86,inf,inf,4.2307898504775527e+89
87,inf,inf,6.017775495074333e+90
88,inf,inf,3.872644146240626e+91
89,inf,inf,4.157949243780542e+92
90,inf,inf,2.786323981817966e+93
91,inf,inf,2.4501340726725226e+94
92,inf,inf,1.2947801070803908e+95
93,inf,inf,1.4834909908198644e+96
94,inf,inf,1.3280117449949453e+97
95,inf,inf,1.3668933646311276e+98
96,inf,inf,2.7621521027490986e+99
97,inf,inf,1.8745869037083636e+100
98,inf,inf,1.6998866471377413e+101
99,inf,inf,4.828158474872959e+102
