,0,1,2
0,1.6189072627374481,0.6165749356709443,0.39665965553780824
1,56.439435800957504,2.4623504780016634,1.053851381298294
2,2615.172030245122,58.23462527750903,19.365359170899513
3,121222.16980096058,1556.975454816066,438.7948566402542
4,5620135.51030139,42654.10581641382,9949.179887926617
5,260611068.53284964,1193392.1052248285,225605.26046650438
6,12087001057.268759,33957173.33820159,5116539.229322491
7,560689179925.2234,978513992.0862029,116046199.27998134
8,26013690161723.527,28451650915.0136,2632060479.2358303
9,1207135915598237.0,832389219472.8179,59698674943.7423
10,5.6025151321690616e+16,24453247857926.504,1354050854402.6658
11,2.6006433377560443e+18,720317572971390.8,30711837740409.375
12,1.207390274798041e+20,2.1255760801166156e+16,696589361778279.5
13,5.606371900832485e+21,6.27946909196123e+17,1.5799667486791452e+16
14,2.6036447156743514e+23,1.8564621875862106e+19,3.583596345219099e+17
15,1.2093315171782324e+25,5.491008341898122e+20,8.128122374646212e+18
16,5.617862521510456e+26,1.6246044967468154e+22,1.8435774451237064e+20
17,2.6101002957262377e+28,4.807573158931679e+23,4.1815042284144233e+21
18,1.2128355572380235e+30,1.4230555969268219e+25,9.484265323938415e+22
19,5.636423063535162e+31,4.219416246166918e+26,2.1511705803639142e+24
20,2.6197539543517625e+33,1.2533666330381047e+28,4.8791706142838815e+25
21,1.2177861437681446e+35,3.732220721113467e+29,1.1066675094120946e+27
22,5.661526206401665e+36,1.1149751181480598e+31,2.510084342684639e+28
23,2.6323666429292605e+38,3.3450653458829765e+32,5.693239707380502e+29
24,1.2240749745236592e+40,1.0090451322381805e+34,1.2913103282876666e+31
25,5.692681569197982e+41,3.0647259116363674e+35,2.928881356924542e+32
26,2.6477164499657886e+43,9.386662001235672e+36,6.643132804738421e+33
27,1.2316016847066936e+45,2.9035808229688458e+38,1.5067600248492756e+35
28,5.72943547820847e+46,9.0834136047331e+39,3.4175528914078907e+36
29,2.665598414307536e+48,2.876626785205142e+41,7.751511569826506e+37
30,1.240273725620279e+50,9.226304351067496e+42,1.758156597026433e+39
31,5.771370252295183e+51,2.996403320407194e+44,3.9877572158958947e+40
32,2.685824127620057e+53,9.846068173828728e+45,9.04481866963677e+41
33,1.2500061516772032e+55,3.269503802927968e+47,2.0514976298082136e+43
34,5.818103091708225e+56,1.0955014939377175e+49,4.653097733442712e+44
35,2.7082211661547143e+58,3.698148469376944e+50,1.0553908618941038e+46
36,1.2607213343247878e+60,1.2559152546786587e+52,2.393781380012988e+47
