,0,1,2
0,1.539770739121436,1.292448510432491,0.43545654231405595
1,63.455192692471066,28.092404351901635,0.7281118252946549
2,3655.9148100018747,719.9789874790106,7.20676404370332
3,212544.2563550081,18661.475152620675,86.23788673741456
4,12403716.211544111,496700.0388880506,1035.9774874137693
5,725015952.9503322,14019173.534139136,12510.294092583576
6,42406508077.759125,437935344.8224559,152600.82817911787
7,2481589121408.003,15422280388.02941,1896618.1915837515
8,145430970163427.5,595428869656.6799,24343060.874625746
9,8528029958913429.0,24156743096716.97,327953113.12042075
10,5.0025096938186624e+17,1001428024071661.5,4693174320.820458
11,2.935006817618945e+19,4.186856278973148e+16,71303275332.75134
12,1.7221691944785632e+21,1.7560917976132877e+18,1135738793579.9634
13,1.0105732484075103e+23,7.374334294435561e+19,18660200935598.562
14,5.930261049834435e+24,3.098439496001097e+21,312130113106034.2
15,3.4800670699661714e+26,1.3045037322229789e+23,5271322430994242.0
16,2.0422351148785255e+28,5.498924842683306e+24,8.946240076733066e+16
17,1.1984675062521063e+30,2.320201620132329e+26,1.5220691756488968e+18
18,7.033121486015024e+31,9.79712894096753e+27,2.5927516537290125e+19
19,4.127344440158525e+33,4.139287482448651e+29,4.419269422159428e+20
20,2.4221091934504205e+35,1.7496443424915665e+31,7.534762548707362e+21
21,1.4214020912495402e+37,7.398221367476723e+32,1.2848498289923438e+23
22,8.341426133357077e+38,3.1291315818480266e+34,2.1911216504576503e+24
23,4.895124440344782e+40,1.3237698989146208e+36,3.736766857558838e+25
24,2.872679689160304e+42,5.6010897518934e+37,6.372840963861497e+26
25,1.6858180230372351e+44,2.370215121439053e+39,1.0868606818739318e+28
26,9.893140874297715e+45,1.0031033507930332e+41,1.8536020617976352e+29
27,5.805741575830496e+47,4.245575701798607e+42,3.161258635032564e+30
28,3.407071218313817e+49,1.7970203231106235e+44,5.391430305148628e+31
29,1.9994231899138578e+51,7.606573753486837e+45,9.194924756526666e+32
30,1.1733517871099032e+53,3.2198851540239003e+47,1.5681675790237816e+34
31,6.885757978885975e+54,1.363023764988745e+49,2.674464358058335e+35
32,4.040873632515648e+56,5.769996418050497e+50,4.561221724094369e+36
33,2.371367069729507e+58,2.442612983701172e+52,7.779032150135244e+37
34,1.3916252504266726e+60,1.0340443951367965e+54,1.3266915253216486e+39
35,8.16668521129692e+61,4.3775174100862364e+55,2.262634196471544e+40
36,4.792579563000989e+63,1.8531893718620558e+57,3.858857486597051e+41
37,2.8125020463499103e+65,7.845384022602408e+58,6.581170367985775e+42
38,1.650503169936989e+67,3.321318559122323e+60,1.122399663616679e+44
39,9.685897713543189e+68,1.4060745248747596e+62,1.914220320960523e+45
40,5.684122043914765e+70,5.952608103285693e+63,3.264647662242109e+46
41,3.335699422581338e+72,2.5200382088131627e+65,5.567762625311595e+47
42,1.9575390098715995e+74,1.066860513883823e+67,9.495658907358163e+48
43,1.1487722632420054e+76,4.516569355316131e+68,1.6194572964943672e+50
44,6.741514248963201e+77,1.9120979312123934e+70,2.7619378084108122e+51
45,3.956224904031965e+79,8.094907549441711e+71,4.710405438962502e+52
46,2.321691375745926e+81,3.426998359631835e+73,8.033460902669524e+53
47,1.3624733110395287e+83,1.4508285283132161e+75,1.3700836352853144e+55
48,7.995608471857156e+84,6.142121752851484e+76,2.3366382066467086e+56
49,4.692184009568571e+86,2.60028449641594e+78,3.985069209023875e+57
50,2.7535854034305354e+88,1.100837963061346e+80,6.796420838938481e+58
51,1.6159282241539542e+90,4.660430070423826e+81,1.159110012829e+60
52,9.482996323136249e+91,1.973007084496313e+83,1.9768287657277297e+61
53,5.565050348179892e+93,8.352785581205477e+84,3.3714245634639777e+62
54,3.265822776100681e+95,3.536177462852969e+86,5.7498675576709004e+63
55,1.9165322391712416e+97,1.4970516846926665e+88,9.806233628667596e+64
56,1.1247076389639104e+99,6.337814953859238e+89,1.6724249213657467e+66
57,6.600292169834649e+100,2.683133795348688e+91,2.8522725681635625e+67
58,3.873349412591574e+102,1.1359131176133823e+93,4.8644687717609725e+68
59,2.2730562959910542e+104,4.808923944883222e+94,8.296211482577015e+69
